ＣＤプレーヤー	シーディープレーヤー	CD player	
弾力	だんりょく	elasticity, flexibility	
断じて	だんじて	absolutely, positively, decidedly	
断る	ことわる	to refuse, to reject, to dismiss, to turn down, to decline	
断言	だんげん	assertion, declaration, affirmation	
断固	だんこ	firm, determined, resolute, conclusive	
断行	だんこう	decisive action, carrying out, resolute enforcement, execution	
断食	だんじき	fasting, fast	
断水	だんすい	suspension of water supply, water outage	
断絶	だんぜつ	extinction (e.g. of a family), dying out, discontinuation	
断然	だんぜん	firmly, flatly, resolutely, decisively, absolutely, definitely	
断層	だんそう	fault, dislocation	
断続	だんぞく	intermittence, being intermittent, occurring intermittently	
断定	だんてい	conclusion, decision, judgement, declaration	
断念	だんねん	abandoning (hope, plans), giving up	
断片	だんぺん	fragment, scrap, piece, shred	
断面	だんめん	section, cross section, profile	
暖冬	だんとう	mild winter, warm winter	
暖房	だんぼう	(indoor) heating	
暖流	だんりゅう	warm current	
暖簾	のれん	(short) curtain hung at shop entrance, split curtain used to divide spaces in a house	
暖炉	だんろ	fireplace, hearth, stove	
段ボール	だんボール	(corrugated) cardboard	
段階	だんかい	stage, step, phase	
段取り	だんどり	programme, program, plans, arrangements	
段落	だんらく	paragraph	
男	おとこ	man, male	
男の子	おとこのこ	boy, son, baby boy	
男の人	おとこのひと	man	
男らしい	おとこらしい	manly, masculine, like a man	
男子	だんし	boy	
男爵	だんしゃく	baron	
男女	だんじょ	men and women, man and woman, both sexes, both genders	
男性	だんせい	man, male	
男前	おとこまえ	handsome man, man's looks, good looks	
男尊女卑	だんそんじょひ	male domination of women, male chauvinism, subjection of women	
男優	だんゆう	(male) actor	
談合	だんごう	bid rigging, collusion (on contract bidding), (illegal) price-fixing agreement	
談笑	だんしょう	friendly chat, pleasant chat, lighthearted talk, friendly conversation	
談話	だんわ	talk, conversation, dialogue	
値切る	ねぎる	to drive a bargain, to beat down the price, to haggle	
値打ち	ねうち	value, worth, merit	
知らせ	しらせ	news, word, tidings, notice, notification, information	
知らせる	しらせる	to notify, to advise, to inform	
知らん顔	しらんかお	feigned ignorance, pretending not to know, pretending not to recognize (someone), ignoring	
知り合う	しりあう	to get to know each other, to make acquaintance	
知る	しる	to know, to be aware (of), to be conscious (of), to learn (of), to find out, to discover	
知れる	しれる	to become known, to come to light, to be discovered	
知覚	ちかく	perception, sensation, awareness	
知恵	ちえ	wisdom, wit, sagacity, sense, intelligence	
知己	ちき	acquaintance	
知事	ちじ	prefectural governor	
知識	ちしき	knowledge, information	
知人	ちじん	friend, acquaintance	
知性	ちせい	intelligence	
知的	ちてき	intellectual	
知能	ちのう	intelligence, intellect, brains	
知名	ちめい	well-known	
地	ち	earth, ground, land, soil	
地位	ちい	(social) position, status, standing	
地域	ちいき	area, region, district, locality	
地下	ちか	underground, below the ground	
地下室	ちかしつ	cellar, basement	
地下鉄	ちかてつ	subway, metro, underground (railway)	
地下道	ちかどう	subterranean tunnel	
地価	ちか	the price of land	
地殻	ちかく	(Earth's) crust	
地殻変動	ちかくへんどう	diastrophism (movement and deformation of the earth's crust)	
地球	ちきゅう	Earth, the globe	
地球温暖化	ちきゅうおんだんか	global warming	
地球儀	ちきゅうぎ	Earth globe (model), terrestrial globe	
地区	ちく	district, area, zone, quarter, section, region	
地形	ちけい	terrain, geographical features, topography	
地検	ちけん	District Public Prosecutor's Office	
地元	じもと	home area, home town	
地獄	じごく	hell realm, Naraka	
地裁	ちさい	district court	
地誌	ちし	topography, geographical description	
地質	ちしつ	geological features	
地主	じぬし	landowner, landlord, landlady	
地上	ちじょう	above ground, on the ground, earth's surface	
地震	じしん	earthquake	
地図	ちず	map, atlas, chart, plan	
地層	ちそう	stratum, geological formation, layer, bed (coal, gravel, etc.)	
地蔵	じぞう	Kshitigarbha (bodhisattva who looks over children, travellers and the underworld), Ksitigarbha, Jizō	
地帯	ちたい	zone, area, belt, region	
地点	ちてん	spot, point, place, position	
地道	じみち	steady, honest, sober, straightforward, reliable	
地肌	じはだ	texture, grain	
地盤	じばん	ground, crust (earth), bed (gravel, river, etc.)	
地平線	ちへいせん	horizon (related to land)	
地方	ちほう	district, region, area, locality	
地味	じみ	plain, simple, subdued, sober	
地名	ちめい	place name, toponym	
地面	じめん	ground, earth's surface	
地雷	じらい	land mine	
地理	ちり	geography	
弛む	たるむ	to slacken, to loosen, to relax, to droop (e.g. loose or flabby skin), to sag (ceiling)	
恥	はじ	shame, embarrassment, disgrace	
恥じらう	はじらう	to feel shy, to be bashful, to blush	
恥じる	はじる	to feel ashamed	
恥ずかしい	はずかしい	embarrassing, embarrassed, ashamed, humiliated, shy	
恥辱	ちじょく	disgrace, shame, insult	
池	いけ	pond	
痴漢	ちかん	molester, groper, masher, pervert	
痴呆	ちほう	dementia	
稚魚	ちぎょ	fry, juvenile fish, fingerling	
稚拙	ちせつ	unskillful, childish, immature, naive, artless, clumsy, crude	
置き換える	おきかえる	to move (something) to another location, to change the position of, to rearrange	
置き場	おきば	place to put something, storage space, storehouse, depository, repository, shed, yard	
置く	おく	to put, to place	
致す	いたす	to do	
致死	ちし	lethal, fatal	
致死量	ちしりょう	lethal dose	
致命傷	ちめいしょう	fatal wound	
致命的	ちめいてき	fatal, lethal	
蜘蛛	くも	spider	
遅い	おそい	slow	
遅らす	おくらす	to delay, to postpone, to slow down, to retard	
遅れ	おくれ	delay, lag, postponement, falling behind	
遅延	ちえん	delay, latency	
遅刻	ちこく	lateness, tardiness, arriving late	
遅咲き	おそざき	blooming late, flowering late, blossoming late	
遅滞	ちたい	delay, procrastination	
遅配	ちはい	delay (in payment, delivery, rationing, etc.)	
築き上げる	きずきあげる	to build, to construct, to put up	
築く	きずく	to build, to construct, to erect	
築山	つきやま	artificial hill (in a garden)	
畜産	ちくさん	animal husbandry, livestock industry	
畜生	ちくしょう	damn it, damn, son of a bitch, for Christ's sake	
竹	たけ	bamboo (any grass of subfamily Bambusoideae)	
竹刀	しない	bamboo sword (for kendo), bamboo fencing stick	
竹林	ちくりん	bamboo thicket, bamboo grove	
蓄財	ちくざい	amassing of wealth	
蓄積	ちくせき	accumulation, accumulate, store	
蓄電池	ちくでんち	storage battery	
逐一	ちくいち	one by one, in detail, minutely	
逐次	ちくじ	successively, one after another, sequentially, one by one	
秩序	ちつじょ	order, discipline, regularity, system, method	
窒素	ちっそ	nitrogen (N)	
窒息	ちっそく	suffocation, choking, asphyxia	
茶	ちゃ	tea	
茶の間	ちゃのま	(Japanese-style) living room	
茶の湯	ちゃのゆ	tea ceremony, chanoyu	
茶屋	ちゃや	teahouse, (Edo period) rest stop	
茶褐色	ちゃかっしょく	dark reddish-brown, liver color	
茶室	ちゃしつ	tearoom, tea house, tea-ceremony room, tea arbour, tea arbor	
茶色	ちゃいろ	brown, light brown, tawny	
茶道	さどう	tea ceremony, Way of Tea, sadō	
嫡子	ちゃくし	heir	
着く	つく	to arrive at, to reach	
着せる	きせる	to put clothes on (someone), to dress, to clothe	
着る	きる	to wear (from the shoulders down), to put on	
着衣	ちゃくい	clothes (that one is wearing)	
着工	ちゃっこう	starting (construction) work	
着実	ちゃくじつ	steady, sound, solid, reliable, trustworthy	
着手	ちゃくしゅ	starting work (on), setting to work (on), setting about (doing), beginning, commencing, embarking on	
着飾る	きかざる	to dress up	
着色	ちゃくしょく	colouring, coloring, colorant	
着席	ちゃくせき	taking a seat, sitting down (in one's seat)	
着替え	きがえ	changing clothes, change of clothes	
着替える	きがえる	to change (one's clothes)	
着服	ちゃくふく	embezzlement, misappropriation, pocketing	
着物	きもの	kimono, Japanese traditional clothing (esp. full-length)	
着目	ちゃくもく	attention, giving one's attention, focusing	
着用	ちゃくよう	wearing (e.g. a uniform, seat belt, helmet), having on	
着陸	ちゃくりく	landing, alighting, touch down	
中	なか	inside, interior	
中尉	ちゅうい	first lieutenant, lieutenant junior grade	
中央	ちゅうおう	centre, center, middle, heart	
中央集権	ちゅうおうしゅうけん	centralized authoritarian rule, centralised authoritarian rule	
中欧	ちゅうおう	Central Europe	
中華	ちゅうか	China	
中華街	ちゅうかがい	Chinatown	
中華人民共和国	ちゅうかじんみんきょうわこく	People's Republic of China	
中華料理	ちゅうかりょうり	Chinese cooking, Chinese food	
中学	ちゅうがく	junior high school, middle school, lower secondary school	
中学校	ちゅうがっこう	junior high school, middle school, lower secondary school	
中学生	ちゅうがくせい	junior high school student, middle school pupil	
中間	ちゅうかん	middle, midway, halfway, centre, center	
中期	ちゅうき	middle period	
中級	ちゅうきゅう	intermediate level	
中京	ちゅうきょう	Nagoya	
中型	ちゅうがた	medium size	
中継	ちゅうけい	relay, hook-up	
中継ぎ	なかつぎ	joining, joint	
中堅	ちゅうけん	nucleus, backbone, mainstay, key figure	
中元	ちゅうげん	15th day of the 7th lunar month, (last day of) Bon lantern festival	
中原	ちゅうげん	middle of a field, middle of a country, field of contest	
中古	ちゅうこ	used, second-hand, old	
中古車	ちゅうこしゃ	used car, secondhand car	
中国	ちゅうごく	China	
中国語	ちゅうごくご	Chinese (language)	
中国人	ちゅうごくじん	Chinese person	
中佐	ちゅうさ	lieutenant colonel, commander (navy)	
中産階級	ちゅうさんかいきゅう	middle class, bourgeoisie	
中止	ちゅうし	interruption, discontinuance, suspension, stoppage	
中耳	ちゅうじ	middle ear, tympanum	
中耳炎	ちゅうじえん	otitis media, middle-ear infection	
中軸	ちゅうじく	axis, pivot, central figure, key man	
中旬	ちゅうじゅん	middle ten days of a month, 11th to 20th day of a month	
中傷	ちゅうしょう	slander, libel, defamation, calumny, smear	
中将	ちゅうじょう	lieutenant general, vice-admiral	
中小	ちゅうしょう	small and medium	
中小企業	ちゅうしょうきぎょう	small and medium-sized enterprises, small and medium-sized businesses	
中心	ちゅうしん	center, centre, middle, heart, core, focus, pivot, emphasis, balance	
中枢	ちゅうすう	centre, center, pivot, mainstay, nucleus, hub, backbone, central figure, pillar, key person	
中世	ちゅうせい	Middle Ages (in Japan esp. the Kamakura and Muromachi periods), medieval times, mediaeval times	
中性	ちゅうせい	neutrality (incl. chemical, electrical, etc.), indifference	
中性子	ちゅうせいし	neutron	
中絶	ちゅうぜつ	abortion	
中前	ちゅうぜん	front of center field, front of centre field	
中退	ちゅうたい	leaving school during a term	
中隊	ちゅうたい	company, battery, troop	
中断	ちゅうだん	interruption, suspension, break	
中庭	なかにわ	courtyard, quadrangle, middle court	
中途	ちゅうと	halfway, midway, partway, mid-course	
中途半端	ちゅうとはんぱ	halfway, half measures, unfinished, incomplete, by halves, half-baked, half-cocked, half-hearted, half-arsed, half-assed	
中島	なかじま	island in a pond or river	
中東	ちゅうとう	Middle East	
中等	ちゅうとう	second grade, medium quality, average, middle class, secondary grade	
中道	ちゅうどう	middle of the road, centrism, moderation, golden mean	
中毒	ちゅうどく	poisoning	
中南米	ちゅうなんべい	Central and South America	
中日	ちゅうにち	China and Japan, Chinese-Japanese, Sino-Japanese	
中年	ちゅうねん	middle-age, middle age, midlife, one's middle years	
中盤	ちゅうばん	middle stage, middle phase, middle game, midpoint	
中部	ちゅうぶ	center, centre, middle, heart	
中腹	ちゅうふく	halfway up (down) a mountain, mountainside	
中立	ちゅうりつ	neutrality	
中略	ちゅうりゃく	omission (of middle part of a text), ellipsis	
中流	ちゅうりゅう	mid-stream, middle course	
中和	ちゅうわ	neutralization, neutralisation	
仲	なか	relation, relationship	
仲介	ちゅうかい	agency, intermediation	
仲間	なかま	companion, fellow, friend, mate, comrade, partner, colleague, coworker, associate	
仲間入り	なかまいり	joining (a group), becoming a member (of), joining the ranks (of)	
仲裁	ちゅうさい	arbitration, intercession, mediation	
仲人	なこうど	matchmaker	
仲直り	なかなおり	reconciliation, making up (with), making peace (with), being friends again, patching up a quarrel	
仲買	なかがい	brokerage, broker	
仲良く	なかよく	on good terms (with), on friendly terms (with), (getting along) well, in harmony, happily, peacefully	
仲良し	なかよし	close friendship, close friend, good friend, bosom buddy, chum, pal	
宙返り	ちゅうがえり	somersault, looping-the-loop	
忠義	ちゅうぎ	loyalty, devotion	
忠告	ちゅうこく	advice, warning	
忠誠	ちゅうせい	loyalty, sincerity, allegiance, fidelity, integrity	
抽出	ちゅうしゅつ	extraction, abstraction	
抽象	ちゅうしょう	abstraction	
抽象的	ちゅうしょうてき	abstract	
抽選	ちゅうせん	lottery, raffle, drawing (of lots), balloting	
昼	ひる	noon, midday	
昼下がり	ひるさがり	early afternoon	
昼過ぎ	ひるすぎ	just past noon, afternoon	
昼休み	ひるやすみ	lunch break, noon recess, noon rest period	
昼寝	ひるね	(afternoon) nap, sleeping during the day, siesta	
昼前	ひるまえ	morning, forenoon	
昼飯	ひるめし	lunch, midday meal	
昼夜	ちゅうや	day and night	
柱	はしら	pillar, post	
注	ちゅう	annotation, explanatory note, comment	
注意	ちゅうい	attention, notice, heed	
注意報	ちゅういほう	advisory	
注射	ちゅうしゃ	injection, jab, shot	
注釈	ちゅうしゃく	notes, comment, remark, annotation	
注入	ちゅうにゅう	pouring, injection	
注文	ちゅうもん	order (for an item)	
注目	ちゅうもく	notice, attention, observation	
虫	むし	insect, bug, cricket, moth	
衷心	ちゅうしん	innermost feelings	
酎ハイ	チューハイ	shōchū highball, cocktail of shōchū with tonic water	
鋳型	いがた	mold, mould, template	
鋳造	ちゅうぞう	casting, founding, minting	
鋳物	いもの	casting, cast-metal object	
駐在	ちゅうざい	residence, stay, (job) posting, being stationed (overseas, etc.)	
駐車	ちゅうしゃ	parking (a vehicle)	
駐車場	ちゅうしゃじょう	parking lot, car park, carpark, parking garage	
駐屯	ちゅうとん	stationing (troops), garrisoning	
駐日	ちゅうにち	resident in Japan (of a foreign ambassador, government official, etc.)	
駐留	ちゅうりゅう	stationing (e.g. of troops), garrison	
猪	いのしし	wild boar, wild pig	
著しい	いちじるしい	striking, remarkable, considerable	
著す	あらわす	to write, to publish	
著作	ちょさく	writing (a book), book, (literary) work, writings	
著作権	ちょさくけん	copyright	
著者	ちょしゃ	author (usu. of a particular book), writer	
著書	ちょしょ	(written) work, book, writings	
著名	ちょめい	famous, noted, eminent, prominent, distinguished, celebrated	
貯金	ちょきん	putting money aside, savings, deposit (e.g. in a bank)	
貯水	ちょすい	storage of water	
貯水池	ちょすいち	reservoir	
貯蔵	ちょぞう	storage, preservation	
丁重	ていちょう	polite, courteous, hospitable	
丁度	ちょうど	exactly, precisely, just, right, opportunely, fortunately	
丁寧	ていねい	polite, courteous, civil	
丁目	ちょうめ	district of a town, city block (of irregular size)	
兆	ちょう	10^12, 1,000,000,000,000, trillion	
萎む	しぼむ	to wither (of flowers, dreams, etc.), to wilt, to droop, to shrivel, to fade (away), to sag, to deflate	
喋る	しゃべる	to talk, to chat, to chatter	
帳消し	ちょうけし	writing off (a debt), cancellation, balancing the books	
帳簿	ちょうぼ	account book, register, ledger	
庁	ちょう	government office, agency, board	
庁舎	ちょうしゃ	government office building	
弔辞	ちょうじ	message of condolence, memorial address	
弔電	ちょうでん	telegram of condolence	
弔問	ちょうもん	condolence call, visiting a bereaved family to offer condolences	
張り紙	はりがみ	paper patch attached to something, paper backing, sticker, label	
張り出す	はりだす	to project, to overhang, to stick out, to jut out, to overlie	
張り切る	はりきる	to be in high spirits, to be full of vigor (vigour), to be enthusiastic, to be eager, to stretch to breaking point	
張る	はる	to stick, to paste, to affix	
彫る	ほる	to carve, to engrave, to sculpt, to chisel	
彫金	ちょうきん	chasing, metal carving, metal engraving	
彫刻	ちょうこく	carving, engraving, sculpture	
彫塑	ちょうそ	carving, engraving	
彫像	ちょうぞう	(carved) statue, sculpture	
徴収	ちょうしゅう	collection (of fees, taxes, etc.), levy	
徴税	ちょうぜい	tax collection, taxation	
徴兵	ちょうへい	conscription, (military) draft, (compulsory) enlistment	
懲りる	こりる	to learn by experience, to learn one's lesson, to learn the hard way	
懲戒	ちょうかい	discipline, punishment, reprimand	
懲罰	ちょうばつ	discipline, punishment, reprimand	
懲役	ちょうえき	penal servitude, imprisonment with hard labor (hard labour)	
挑む	いどむ	to challenge to (a fight, game, etc.), to throw down the gauntlet, to contend for	
挑戦	ちょうせん	challenge, defiance, dare, attempt, try	
挑発	ちょうはつ	provocation, stirring up, arousal, excitement, stimulation	
挑発的	ちょうはつてき	provocative, incendiary, inflammatory	
朝	あさ	morning	
朝刊	ちょうかん	morning edition (of a daily newspaper), morning paper	
朝顔	あさがお	Japanese morning glory (Ipomoea nil), picotee morning glory, ivy morning glory	
朝食	ちょうしょく	breakfast	
朝寝坊	あさねぼう	sleeping late in the morning, sleeping in, lie-in, oversleeping	
朝鮮	ちょうせん	Korea	
朝鮮半島	ちょうせんはんとう	Korean peninsula	
朝鮮民主主義人民共和国	ちょうせんみんしゅしゅぎじんみんきょうわこく	Democratic People's Republic of Korea (North Korea), DPRK	
朝日	あさひ	morning sun	
朝晩	あさばん	morning and evening	
朝方	あさがた	early morning, early hours, early in the morning	
朝霧	あさぎり	morning fog, morning mist	
朝夕	あさゆう	morning and evening	
朝礼	ちょうれい	morning assembly (at a company, school, etc.), morning gathering	
潮	しお	tide, current	
潮時	しおどき	tidal hour	
潮流	ちょうりゅう	tide, tidal current	
町外れ	まちはずれ	outskirts (of a town), edge (of a town), just outside the city limits	
町人	ちょうにん	chōnin (Edo-period social class of town-dwelling commoners, esp. landowning merchants), townspeople, townsfolk, tradespeople	
町村	ちょうそん	towns and villages	
町長	ちょうちょう	town mayor	
町内	ちょうない	neighborhood, neighbourhood, street, block, town	
町民	ちょうみん	townsman, townswoman, resident of a town, townspeople, townsfolk	
眺める	ながめる	to look at, to gaze at, to watch, to stare at	
眺望	ちょうぼう	view, vista, panorama, outlook, prospect	
聴覚	ちょうかく	(sense of) hearing, auditory perception	
聴講	ちょうこう	lecture attendance, auditing	
聴取	ちょうしゅ	hearing (of a statement, opinion, explanation, etc.), asking, questioning (e.g. a suspect), enquiry	
聴衆	ちょうしゅう	audience, attendance, hearers	
腸	ちょう	intestine, bowel	
蝶	ちょう	butterfly	
調べ	しらべ	investigation, inspection, examination	
調べる	しらべる	to examine, to look up, to investigate, to check up, to sense, to study, to inquire, to search	
調印	ちょういん	signature, signing, sealing	
調査	ちょうさ	investigation, examination, inquiry, enquiry, survey	
調剤	ちょうざい	making up a prescription, dispensing a prescription, preparing a medicine	
調子	ちょうし	tune, tone, key, pitch, time, rhythm	
調書	ちょうしょ	protocol, written evidence, record (investigation, interrogation, etc.), preliminary memo, charge sheet	
調整	ちょうせい	adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring	
調節	ちょうせつ	regulation, adjustment, control	
調達	ちょうたつ	supply, provision, raising, procurement	
調停	ちょうてい	arbitration, conciliation, mediation	
調味料	ちょうみりょう	seasoning, flavoring, flavouring, condiment	
調理	ちょうり	cooking, food preparation	
調和	ちょうわ	harmony, accord, reconciliation, agreement	
超	ちょう	super-, ultra-, hyper-, extreme	
超越	ちょうえつ	transcendence, transcendency	
超音速	ちょうおんそく	supersonic speed	
超過	ちょうか	excess, surplus, exceeding (a limit, estimate, etc.), going over	
超人	ちょうじん	superman, superwoman	
超特急	ちょうとっきゅう	super express	
跳ねる	はねる	to jump, to leap, to prance, to spring up, to bound, to hop	
飛び上がる	とびあがる	to jump up, to leap up, to spring up	
飛ぶ	とぶ	to fly, to soar	
跳躍	ちょうやく	jump, leap, skip, bound	
銚子	ちょうし	(sake) decanter	
長	ちょう	head, chief, leader, elder	
長い	ながい	long (distance, length)	
長い間	ながいあいだ	long time, long interval, for quite some time	
長さ	ながさ	length	
長官	ちょうかん	secretary (government), director, chief	
長閑	のどか	tranquil, calm, quiet, peaceful, serene	
長期	ちょうき	long-term	
長期的	ちょうきてき	long-term	
長久	ちょうきゅう	permanence, perpetuity	
長居	ながい	long visit, overstaying	
長距離	ちょうきょり	long distance, long haul	
長持ち	ながもち	long-lasting, long-wearing, wears well	
長時間	ちょうじかん	long time, several hours, long spell	
長者	ちょうじゃ	millionaire	
長蛇の列	ちょうだのれつ	long line, long queue	
長寿	ちょうじゅ	long life, longevity	
長所	ちょうしょ	strong point, merit, virtue, advantage	
長女	ちょうじょ	eldest daughter, first-born daughter	
長続き	ながつづき	lasting long, continuation, keeping at (something), sticking to (something)	
長袖	ながそで	long sleeves	
長短	ちょうたん	(relative) length	
長男	ちょうなん	eldest son (may be the only son), first-born son	
長調	ちょうちょう	major key	
長年	ながねん	many years, a long time	
長編	ちょうへん	long (e.g. novel, film)	
長方形	ちょうほうけい	rectangle, oblong	
長老	ちょうろう	elder, senior	
長話	ながばなし	long talk	
頂	いただき	crown (of head), summit (of mountain), spire	
頂上	ちょうじょう	top, summit, peak	
頂戴	ちょうだい	receiving, getting, accepting, being given	
頂点	ちょうてん	vertex, apex	
鳥	とり	bird	
鳥居	とりい	torii (Shinto shrine archway)	
鳥類	ちょうるい	birds	
捗る	はかどる	to make (good) progress, to move right ahead (with the work), to advance	
直ぐ	すぐ	immediately, at once, right away, directly	
直ぐに	すぐに	immediately, right away, at once, instantly	
すぐ側	すぐそば	right beside, close to, nearby	
直ぐさま	すぐさま	immediately, promptly	
直し	なおし	correction, rectification	
直ちに	ただちに	at once, immediately, right away, without delay	
直に	じかに	directly, in person, firsthand	
直に	じきに	immediately, right away, at once, soon, shortly, in a moment, before long	
直営	ちょくえい	direct management	
直下	ちょっか	directly under	
値下がり	ねさがり	price decline, fall in price	
直角	ちょっかく	right angle	
直轄	ちょっかつ	direct control, direct supervision	
直感	ちょっかん	intuition, instinct, hunch	
直系	ちょっけい	direct descent, direct line	
直撃	ちょくげき	direct hit	
直後	ちょくご	immediately following	
直行	ちょっこう	going straight (to), going direct, going without stopping	
直視	ちょくし	taking a straight look at something, looking someone in the eyes	
直進	ちょくしん	going straight on, going straight ahead	
直接	ちょくせつ	direct, immediate, personal, firsthand	
直接税	ちょくせつぜい	direct tax	
直接的	ちょくせつてき	direct	
直線	ちょくせん	straight line	
直前	ちょくぜん	just before, just prior to	
直属	ちょくぞく	direct control, direct supervision	
直通	ちょくつう	direct line, direct communication, connecting directly, through service, nonstop service	
直面	ちょくめん	confrontation	
直列	ちょくれつ	series (e.g. electrical)	
沈む	しずむ	to sink, to go under, to submerge	
沈める	しずめる	to sink (e.g. a ship), to submerge	
沈下	ちんか	sinking, subsidence	
沈静	ちんせい	settling down, quieting down, cooling down, cooling off	
沈滞	ちんたい	stagnation, inactivity	
沈着	ちんちゃく	composure, calmness, self-possession, presence of mind	
沈没	ちんぼつ	sinking, foundering, going down, submersion	
沈黙	ちんもく	silence, being silent, quiet, hush	
珍	ちん	rare	
珍しい	めずらしい	rare, uncommon, unusual, curious	
珍重	ちんちょう	prizing, valuing highly, esteeming	
珍品	ちんぴん	curio, rare article	
珍味	ちんみ	delicacy, dainties	
賃金	ちんぎん	wages, pay	
賃借	ちんしゃく	renting, rental, hiring, leasing (from)	
賃上げ	ちんあげ	wage increase, pay rise	
賃貸	ちんたい	leasing (out), renting out, hiring out, letting	
鎮圧	ちんあつ	suppression (of a riot, revolt, etc.), repression, putting down, quelling	
鎮魂	ちんこん	repose of a soul	
鎮守	ちんじゅ	local Shinto deity, tutelary god	
鎮痛剤	ちんつうざい	analgesic, painkiller, sedative, tranquilizer, tranquiliser	
陳謝	ちんしゃ	apology	
陳述	ちんじゅつ	statement, declaration	
陳情	ちんじょう	petition, appeal	
陳腐	ちんぷ	stale, hackneyed, clichéd	
陳列	ちんれつ	exhibition, display, putting on show	
津波	つなみ	tsunami, tidal wave	
墜落	ついらく	fall, crash (of an aircraft)	
椎茸	しいたけ	shiitake mushroom (Lentinula edodes), shitake	
追い越す	おいこす	to pass (e.g. car), to overtake	
追い込み	おいこみ	final stage, final stretch, final spurt, last spurt, final push, late charge	
追い込む	おいこむ	to herd, to drive, to chase, to corral	
追い出す	おいだす	to expel, to drive out	
追い討ち	おいうち	attacking a fleeing enemy	
追い抜く	おいぬく	to pass (a car), to overtake	
追う	おう	to chase, to run after, to pursue, to follow after	
追っ手	おって	pursuer, pursuing party, posse	
追加	ついか	addition, supplement, appending, appendix	
追加料金	ついかりょうきん	additional fee, extra charge	
追及	ついきゅう	investigation (e.g. into someone's guilt), questioning, pressing, hounding, pinning down	
追求	ついきゅう	pursuit (of a goal, ideal, etc.), search, chase, seeking after	
追究	ついきゅう	thorough investigation, close inquiry, pursuit (e.g. of the truth)	
追撃	ついげき	pursuit (of a fleeing enemy), chase, follow-up attack	
追伸	ついしん	postscript, post scriptum, PS, P.S.	
追随	ついずい	following (in the footsteps of)	
追跡	ついせき	chase, pursuit, tracking, stalking	
追徴	ついちょう	supplementary charge, additional collection	
追悼	ついとう	mourning	
追突	ついとつ	rear-end collision	
追放	ついほう	exile, banishment, eviction, deportation, purge, expulsion, ousting	
痛い	いたい	painful, sore	
痛む	いたむ	to hurt, to ache, to feel a pain	
痛める	いためる	to hurt, to injure, to cause pain	
痛感	つうかん	feeling keenly, fully realizing	
痛恨	つうこん	deep regret, great sorrow, bitter grief	
痛手	いたで	serious wound	
痛烈	つうれつ	severe, bitter, scathing	
通	つう	authority, expert, connoisseur, well-informed person	
通う	かよう	to go to and from (a place), to go back and forth between, to run between (e.g. bus, train, etc.), to ply between	
通じる	つうじる	to be open (to traffic), to lead to, to communicate (with)	
通す	とおす	to stick through, to force through	
通り	とおり	street, road, avenue, thoroughfare	
通り	どおり	in accordance with, following	
通り過ぎる	とおりすぎる	to go past, to pass, to pass by	
通る	とおる	to go by, to go past, to go along, to travel along, to pass through, to use (a road), to take (a route), to go via, to go by way of	
通院	つういん	going to the hospital for regular treatment, going to the hospital as an outpatient	
通貨	つうか	currency	
通過	つうか	passing through (a tunnel, station, town, etc.), passing by (e.g. of a typhoon), transit	
通学	つうがく	commuting to school, school commute	
通関	つうかん	customs clearance	
通勤	つうきん	commuting to work	
通行	つうこう	passage (of people or vehicles), passing (through), traffic	
通行止め	つうこうどめ	closure (of a road), suspension of traffic	
通告	つうこく	announcement, notice	
通算	つうさん	total, sum, aggregate	
通商	つうしょう	commerce, trade	
通称	つうしょう	popular name, common name, nickname, alias	
通常	つうじょう	usual, ordinary, normal, regular, general, common	
通信	つうしん	correspondence, communication, transmission, news, signal, telecommunications	
通信衛星	つうしんえいせい	communication satellite, Broadcast Satellite, BS	
通信販売	つうしんはんばい	online shopping service (with delivery by mail), mail order, mail-order sales, shop-by-mail service	
通信網	つうしんもう	communications network	
通達	つうたつ	notification, official notice, directive (e.g. from higher to lower levels of the administration)	
通知	つうち	notice, notification, report, posting	
通帳	つうちょう	passbook, bankbook	
通念	つうねん	common idea, common wisdom, generally accepted idea	
通報	つうほう	report, notification, tip, bulletin	
通夜	つや	all-night vigil over a body, wake	
通訳	つうやく	interpretation (i.e. oral translation)	
通用	つうよう	(common) use (of a language, currency, etc.), current use, circulation, currency, validity (e.g. of a ticket)	
通例	つうれい	custom, general rule, convention	
通路	つうろ	passage, pathway, roadway, avenue, aisle	
通話	つうわ	telephone call, speaking over the telephone, (Internet) voice call, videoconference call	
塚	つか	mound, heap, hillock	
掴む	つかむ	to seize, to catch, to grasp, to grip, to grab, to clutch, to hold, to catch hold of, to lay one's hands on	
浸かる	つかる	to be submerged, to be soaked	
漬ける	つける	to soak (in), to steep, to dip, to dunk	
漬物	つけもの	tsukemono (pickled vegetables)	
辻	つじ	crossroads, crossing, intersection, street corner	
辻褄	つじつま	coherence, consistency	
綴じる	とじる	to bind, to file	
綴る	つづる	to spell	
椿	つばき	common camellia (Camellia japonica)	
潰す	つぶす	to smash, to crush, to flatten	
潰れる	つぶれる	to be crushed, to be squashed, to be smashed, to be destroyed, to be broken, to collapse	
坪	つぼ	tsubo, traditional unit of land area, approx. 3.3 square meters	
壺	つぼ	pot, jar, vase	
爪	つめ	nail (e.g. fingernail, toenail), claw, talon, hoof	
つま先	つまさき	toes, tips of the toes, toe of a shoe, sock, etc.	
